State,Type of Administration,Type of Process,Eligibility Requirements,Effect,Frequency of Grants,Alternative Restoration
AL,"Independent board appointed by governor exercises pardon power, except governor has authority in capital cases.
Ala. Const. amend. 38 (amending Art. V § 124); Ala. Code §§ 15-22-20 through 15-22-40. The board must make a full annual report to the governor. § 15-22-24(b).","Public hearings at regular intervals; 30 days' notice must be given to the attorney general, prosecutor, sentencing judge, chief of police and the county sheriff, and the victim. Ala. Code § 15-22-23l. Each board member gives reasons for vote. Process takes about one year.","Following completion of sentence, incl. fine, no pending charges, or after 3 years ""permanent parole"" unless pardon sought for actual innocence. Ala. Code § 15-22-36(c). Federal and out-of-state offenders eligible.",Only as specified in grant (full pardons rare); predicate unless expressly provided. Ala. Code § 15-22-36.,Frequent and Regular:More than 500 pardons granted annually; 2000+ restoration of rights.,None.
AK,"Governor decides, parole board must be consulted but advice not binding. Alaska Const. art. III, § 21; Alaska Stat. § 33.20.080.","No formal regulations, no public hearing. Parole board staff investigates, consults with DA and court, prepares confidential recommendation to governor. Alaska Stat. § 33.20.080.",Parole board staff must find a person eligible to apply on merits.,"Conviction set aside, may not serve as predicate or be used by licensing board, but conduct may be taken into account.",Rare: Only three pardons since 1995.,Judicial set aside after deferred sentencing. Alaska Stat. § 12.55.085 et seq.
AZ,"Governor decides, may not act without affirmative clemency board recommendation. Ariz. Const. art. V, § 5; Ariz. Rev. Stat. § 31-402(A). Governor must publish reasons for each grant, and report regularly to legislature. Ariz. Rev. Stat. §§ 31-445, -446.","Board meets monthly; must publish application, hold public hearing, publish recommendation to governor with reasons. Ariz. Rev. Stat. §§ 31-401, 31-402.",Any Arizona felony offender. Ariz. Rev. Stat. § 31-402.,"Pardon relieves legal consequences, but conviction must still be reported and is given predicate effect. 68 Ariz. Op. Att'y Gen. 17.","Infrequent: Pardons increasingly rare since 1990; Gov. Brewer issued only 12 pardons in her 6 years in office, all in her last year.
Governor Ducey has issued no pardons to date.",Judicial set-aside for non-serious offenders; court restores firearms. Ariz. Rev. Stat. §§ 13-905 through 13-907.
AR,"Governor decides, parole board must be consulted but advice not binding. Ark. Const. art. VI, § 18; Ark. Code Ann. § 16-93-204(a). Governor must report to legislature on all grants with reasons. Ark. Const. art. VI, § 18.","No public hearing. Parole board must give 30 days' prior notice of favorable recommendation, and governor must give 30 days' public notice (including statement of reasons) to prosecutor and victim. Ark. Code Ann. §§ 5-4-607(d)(1);16-93-204(c)(1); 16-93-207(a).","No restrictions. Federal and out-of-state offenders are eligible to apply. Ark. Const. art. VI, § 18; Ark. Code Ann. § 16-93-204.","Relieves legal disabilities, expungement automatic in all but cases involving serious violence; must specifically restore firearms rights. May not be used as predicate or to enhance. Ark. Code Ann. §§ 16-93-301 to 16-93-303.","Frequent and Regular:About 100 grants each year, 300-500 applications annually.","Sealing for first offenders and probationers. Ark. Code Ann. § 16-93-1201
et seq.; § 5-4-311."
CA,"Governor decides, parole board may be consulted. For recidivists, board must be consulted, majority of supreme justices must recommend.. Cal. Const. art. V, § 8; Cal. Penal §§ 4800, 4812-4813, 4852.16. Governor report grants to legislature, including facts and reasons for grants. Cal. Const. art. V, § 8; Cal. Penal § 4852.16.","No provision for public hearing. Certificate of rehabilitation from court (PD representation), or direct application to board if non-resident or misdemeanant. Cal. Penal Code § 4852 et seq.",10 years after completion of sentence.,"Described as ""an honor,"" restores civil rights and removes occupational bars, but no expungement; guns separately restored. May be used as predicate. Cal. Penal Code §§ 4852.15, 4853.","Frequent and regular:Very few pardons between 1990 and 2011, but Jerry Brown has granted 399 pardons through December April 2014.",Set-aside for probationers; certificate of relief. Cal. Penal Code § 1203.4(a).
CO,"Governor decides (""subject to such regulation as may be prescribed by law relative to the manner of applying""). Colo. Const. art. IV, § 7. Non-statutory advisory scheme; Governor sends legislature ""a transcript of the petition, all proceedings, and the reasons for his action."" Colo. Const. art. IV, § 7.","No hearing, governor as a matter of policy seeks views of corrections authorities, DA and judge. Colo. Rev. Stat. §§ 16-17-101; 16-17-102.",No eligibility restrictions.,"Restores civil rights and firearms privileges, assists with licensing and employment, recognizes meritorious achievement and rewards exceptional citizenship. Does not authorize sealing.","Infrequent: Pardons infrequent since 1990s, although Governor Bill Ritter issued almost 30 pardons at the end of his term.",Drug convictions may be sealed after waiting periods from 3 to 10 yrs. Colo. Rev. Stat. § 24-72-308.6.
CT,Independent board appointed by governor exercises pardon power. Conn. Gen. Stat. § 54-124a(f).,"Public hearings at regular intervals at which applicant must be present, with reasons for denial given. Board may dispense with hearing in certain classes of cases. Process takes about one year. Conn. Gen. Stat. § 54-124a(e)?(k).",5 years following completion of sentence; misdemeanants may apply. Provisional pardon/Certificate of Relief may be sought any time after sentencing. Conn. Gen. Stat. § 54-130e(b).,"Relieves all legal disabilities, results automatically in ""erasure"" of conviction, destruction of records after three years, after which no predicate effect. Provisional pardon relieves one or more ""barriers and forfeitures."" Conn. Gen. Stat. § 54-142a(d).","Frequent and Regular:About 400 pardon grants annually, including provisional pardons (about 30% of applicants get hearing, most of those granted); more than half to misdemeanants.",None; law prohibits discrimination in licensing and employment. Conn. Gen. Stat. § 46a-80.
DE,"Governor decides, may not act without affirmative clemency board recommendation. Del. Const. art. VII, § 1. Governor must report periodically to legislature. Id.","Pardon board, chaired by lieutenant governor, public hearings at regular intervals, recommendations and reasons announced. Favorable recommendations sent to governor. Process takes about six months. Del. Const. art. VII; Del. Code. Ann. tit.11, § 4362.","3-5 years following completion of sentence, absent hardship; misdemeanants may apply.","Relieves disabilities except constitutional prohibition against holding state office for ""infamous offense."" May be used as predicate and to enhance subsequent sentence. Del. Code. Ann. tit. 11, § 4364. Only pardoned misdemeanor convictions may be sealed. § 4375.","Frequent and Regular:Over 250 pardons annually in recent years, (about 85% of applications received are approved by Board and 90% of those granted by governor). Applications have tripled since 2005.","Expungement for deferred adjudication and diversion, pardoned misdemeanor convictions. Del. Code Ann. tit.
11, §§ 4371-4375."
DC,"President decides under a non-statutory advisory scheme. U.S. Const. art II, § 2.","Informal process described in 28 C.F.R. Part 1 and United States Attorneys Manual. No time limit, and applications may remain pending for years.",5 years after sentence or release from confinement. 28 C.F.R. Part 1.,Relieves legal disabilities and signifies rehabilitation and good character. May be used as predicate. 1995 WL 861618 (1995).,Rare:Only a handful of DC offenders have been pardoned by the president since 1980.,Expungement of minor D.C. Code offenses. D.C. Code § 16-801 et seq.
FL,"Governor decides with concurrence of two cabinet officials. The governor and three cabinet officials act as pardon board. Fla. Const. art. IV, §8 (a); Fla. Stat. ch. 940.01, 940.05. Governor reports to legislature each restoration and pardon. Id. at 940.01.","Public hearing for pardon, and for restoration of rights for many offenders (offenses specified in clemency rules). Hearings are held on a quarterly basis, DA and victims notified. Separate process for firearms restoration.",Eligibility immediately following completion of sentence. Out-of-state and federal offenders eligible for ROR but not pardon (R. 9D).,"Pardon ""unconditionally releases the person from punishment and forgives guilt."" Id. Restores firearms rights. Id. at 4A. May be used as predicate. ROR restores vote and other basic civil rights. (R. 4F).",Sparing: 20-40 pardon grants annually between 2006 and 2010; 20-30 firearms restoration grants annually (about half of applications). Restorations of rights number in thousands.,Sealing and expungement for misdemeanors and minor felonies.Fla. Stat. ch. 943.0585(1)(b)(1); 943.0585. Deferred adjudication. Fla. Stat. ch. 948.01(2).
GA,"Independent board appointed by governor exercises pardon power. Ga. Const. art. IV, § 2, para. II. Board must report annually to legislature, the Attorney General and the Governor. Ga. Code Ann. § 42-9-19.","Paper review, no public hearing. Board decides cases by majority vote, and in a written opinion. Ga. Code Ann. §§ 42-9-42(a) and (b); 42-9-43.",5 years following discharge; out-of state offenses eligible for restoration of rights but not pardon. Drug and violent offenses ineligible to apply by Board policy.,"Relieves all legal disabilities except return to public office. No sealing, and may be used as predicate. Ga. Code Ann. § 42-9-54; Morris v. Hartsfield, 197 S.E. 251 (Ga. 1938).","Frequent and Regular:Between 300-400 pardons w/o gun rights; 100 pardons w/ gun rights, several hundred ""restoration of rights""(approx. 35% of applicants); immigration pardons.",Deferred adjudication and 'exoneration' for first offenders. Ga. Code. Ann. § 42-8-60 et seq.
HI,"Governor decides, parole board may be consulted. Haw. Const., art. V, § 5; Haw. Rev. Stat. § 353-72.","No public hearing; parole boards interviews applicant, recommends to AG's office, which conducts independent investigation and makes recommendation to governor. Process takes 8 months. Haw. Rev. Stat. § 353-72.",No eligibility requirements.,"A pardon will state that the person has been rehabilitated, relieves legal disabilities and prohibitions. No expungement, may be used as predicate. Haw. Rev. Stat. §§ 353-62, 353-72.","Uneven: Governor Abercrombie issued 33 pardons, fewer than his predecessors. Governor Lingle granted 132 pardons in 8 yrs., 55 in her last year (2010). About 50 applications filed per year.",Deferred adjudication and expungement; state FEP laws includes conviction. Haw. Rev. Stat. §§ 853-1; 831-3.
ID,"Independent board appointed by governor decides all but violent and drug offenses, which must be approved by governor. Idaho Const. art. IV, § 7; Idaho Code Ann. §§ 20-210, 20-240.","Public hearing at regular intervals; reasons for each action must be filed with Secretary of State. Idaho Code §§ 20-210, 20-240; see IDAPA § 50.01.01.","Three years for non-violent offenses, five years for violent. Idaho Code § 18-310(3).","Relieves certain legal disabilities, including firearms. Idaho Code § 18-310. Does not expunge.","Frequent and Regular:In recent years 20-30 grants annually, from 30-60% of applications filed.",Deferred adjudication but no expungement; ex. for some juvenile offenses.Idaho Code § 19-2601 et seq.
IL,"Governor decides, although ""the manner of applying therefore may be regulated by law."" Ill. Const. art. V, § 12. Prisoner Review Board authorized to provide advice to governor. 730 Ill. Comp. Stat, Ann. 5/3-3-1(a)(3).","Public hearings at regular intervals before the Prisoner Review Board, which makes confidential recommendations to Governor. 730 Ill. Comp. Stat. 5/3-3-1 et seq.",No eligibility requirements.,"Relieves legal disabilities; expungement only if authorized by the grant. People v. Glisson,
358 N.E.2d 35 (Ill. App. Ct. 1976).","Uneven, varies with administration: Between 2009 and April 2014, Gov. Quinn granted 1075 pardons, about half of those that applied. Since 2014 many fewer granted by Governor Rauner, though still regular practice. Board hears 800 applications each year.",Judicial certificates; sealing for most convictions after three-year waiting period. 730 Ill. Comp. Stat. 5/5-5.5-5 et seq.; 20 Ill. Comp. Stat. 2630/5 et seq.
IN,"Governor decides, ""subject to such regulations as may be provided by law."" Ind. Const. art. 5, § 17. Parole board makes advisory recommendations to governor. Ind. Const. art. 5, § 17; Ind. Code §§ 11-9-2-1 to 11-9-2-3. Governor reports to legislature. Ind. Const. art. 5, § 17.","Public hearing; parole board notifies victim, court, and DA; conducts investigation and holds hearing at which petitioner and other interested parties are may present their position.Ind. Code § 11-9 et. seq.",Recent governors have required a 5-year waiting period and evidence of rehabilitation. 15 years for firearms restoration.,"Pardon wipes out both the punishment and the guilt, basis for expungement. Kelley v. State, 185 N.E. 453 (Ind. 1933). See also State v. Bergman, 558 N.E.2d 1111 (Ind. Ct. App. 1990); Ind. Code § 35-47-2-20(a); § 11-9-2-4.","Sparing: Gov. Pence issued only three pardons. Gov. Daniels granted 62 pardons during his eight years in office, acting favorably on about half of those recommended by board.","Expungement for most offenses; sealing for misdemeanors, Class D felonies, and nonconviction records. Ind. Code § 35-38-9; § 10-13-3-27(a)."
IA,"Governor decides ""subject to such regulations as may be provided by law."" Iowa Const. art. IV, § 16. Parole board authorized to provide advice. Iowa Code §§ 914.1-914.7. Governor reports to legislature on pardons issued and reasons. Iowa Const. art. IV, § 16.","Paper review, no public hearing for pardon and restoration of rights. Separate firearms restoration procedure. Iowa Code § 914 et seq.","10 years for pardon, 5 years for firearms; no waiting period for restoration of rights. Out-of-state and federal eligible for ROR. Iowa Code § 914.2.","Pardon relieves all legal disabilities (incl. public employment disabilities). See Slater v. Olson, 299 N.W. 879 (Iowa 1941). Restoration of rights restores right to vote and hold public office, may also restore firearms rights. Does not seal or expunge.","Uneven, varies with administration: Average of 35 full pardons each year between 2005 and 2011 (fewer since 2009 and in recent years increasingly rare), with another 30-60 grants to restore civil rights and firearms privileges",Restoration of gun rights by governor; Deferred adjudication and expungement for some first offenders.Iowa Code §§ 907.3; 914.7
KS,"Governor decides, subject to regulations and restrictions by law. Kan. Const. art. I, § 7. The governor required to seek the advice of the prisoner review board, though not bound to follow it, Kan. Stat. Ann. § 22-3701(4). Reports to legislature on each pardon application but need not give reasons. Kan. Stat. Ann. § 22-3703.","Paper review. Applicant must publish a copy of the application in a newspaper in county of conviction at least 30 days before grant or pardon is void. Applicant must also provide notice of application to DA, judge and victim. Kan. Stat. Ann. § 22-3701 et seq.","No eligibility requirements, except that only Kansas state convictions are eligible to be pardoned or commuted. Kan. Stat. Ann. § 22-3701.","Pardon removes disabilities imposed under state law, but does not expunge conviction or lift bar to service as a law enforcement officer.Cf.Kan. Att'y Gen. Op. No. 85-165 (1985). May be used as predicate.","Rare: Pardons very rare, primarily for miscarriage of justice",Expungement for many felony offenses. Kan. Stat. Ann. § 21-4619 et seq.
KY,"Governor decides, parole board may be consulted. Ky. Const. § 77. Governor may also restore rights of citizenship, office. Id. §§ 145, 150. Governor reports to legislature reasons for each grant. Id. § 77.",No public hearing. Pardon applications sent directly to the governor with reasons for seeking relief and letters of recommendation. Simplified ROR process administered by DOC. Ky. Rev. Stat. Ann. § 439 et seq.,"For restoration of rights, expiration of sentence with no pending charges. For pardon 7-year waiting period. Federal and out-of-state offenders eligible for restoration of rights.Arnett v. Stumbo, 153 S.W.2d 889 (1941).","Restoration of citizenship restores a person's right to vote and eligibility for jury service. A full pardon relieves additional legal disabilities. May be used as predicate. Ky. Const. § 145(1); Leonard v. Corrections Cabinet, 828 S.W.2d 668 (Ky. Ct. App. 1992)","Uneven: Pardons during term have been rare, but current governor (Bevin) may depart from this practice, announcing 10 pardons in July 2017 and indicating there would be more. ROR to restore vote frequent.",Misdemeanor expungement. Ky. Rev. Stat. Ann. § 431.078.
LA,"""Upon favorable recommendation of the Board of Pardons,"" the Governor may pardon ""those convicted of offenses against the state.""La. Const. art. IV, § 5(E)(1); La. Rev. Stat. Ann. § 15:572(A).","Regular public hearings, approval by four of five board members; DA and victim notified by board, and by applicant through publication of application in newspaper. La. Const. art. IV, § 5(E)(2); La. Rev. Stat. Ann. 15:572.1.","Completion of sentence, plus payment of costs. La. Const. art. IV, § 5(E)(1); La. Rev. Stat. Ann. § 15:572(A); see Op. La. Att'y Gen. No. 04-0080 (2005).","Full pardon restores to ""status of innocence,"" conviction cannot be used to enhance punishment. State v. Riser, 30,201 (La. App. 2 Cir. 12/12/97).","Infrequent/uneven:In 4 years, Gov. Jindal issued 36 pardons and commuted one sentence, failing to act on hundreds of recommendations from the Board. Previous governors granted 331 (in 4 years) and 476 (in 8 years). Edwin Edwards granted over 3,000 in 16 years.","Deferred adjudication and expungement. La. Const. art. IV, § 5(E)(1); La. Rev. Stat. Ann. § 15:572(B)(1)."
ME,"Governor decides, subject to regulation ""relative to the manner of applying."" Non-statutory advisory scheme. Me. Const. art. V, pt. 1, § 11.","Public hearings at regular intervals; board makes confidential recommendations to governor. Parole board conducts investigation. Applicant notifies DA, publishes notice of hearing in a newspaper 4 weeks beforehand. Me. Rev. Stat. Ann. tit. 34-A, § 5210(4); tit. 15, § 2161.",5 years following completion of sentence.,"Relieves legal disabilities. Me. Rev. Stat. Ann.
tit. 16, §§ 611-622.","Infrequent/uneven: As of April 2013, Gov. Lepage had granted only about 30 pardons since taking office in 2011 . Between 2002 and 2011, Governor Baldacci granted 131 pardons, 51 in his final year. In past about 50 hearings each year, 25% result in pardon.",No other relief provided
MD,"Governor decides, parole board may be consulted. Md. Const. art. II, § 20; Md. Code Ann., Correctional Services § 7-206(3)(ii). Constitution requires governor to publish notice of intention to grant, and to report grants to legislature with reasons. Md. Const. art. II, § 20.","Paper review by Parole Commission, whose recommendations to the governor are not binding.Md. Code Ann. § 7-206(3)(ii).",Felony convictions must have 10 crime-free years to be eligible (seven if Parole Commission waiver granted); misdemeanants must have 5 crime-free years. 20-year wait for crimes of violence and drugs (or 15 if waiver granted).,Pardon lifts all disabilities and penalties imposed. Firearms privileges must be specifically restored in pardon document. Non-violent first offenders entitled to expungement.,"Sparing/Uneven: As of August 2017, Governor Hogan had granted no pardons. Governor O'Malley granted about 150 pardons in his eight years in office, Ehrlich (2003-2007) granted 228 pardons out of a total of 439 applications.","Probation before judgment and expungement.Md. Code Ann., Crim. Proc. § 6-220(b)(1); § 10-105(a)(8)."
MA,"Governor may not act without affirmative recommendation of Governor's Council. Mass. Const. pt. 2, ch. II, sec. I, art. VIII. Governor must report to legislature annually with a list of pardons granted, but not required to give reasons. Mass. Gen. Laws ch. 127, § 152 (2011).","Petitions filed with Parole Board, which recommends to Governor and Council. Mass. Gen. Laws ch. 127, § 152 (2011). Public hearing, referral to AG, DA, court, notice to victim. 120 Mass. Code Regs. 902.02-.12 (2011). Public report to governor and Council. Mass. Gen. Laws ch. 127, § 154 (2011).","15 years after conviction or release from prison for felonies, 10 years for misdemeanors.Governor's Executive Clemency Guidelines (April 22, 2003) at 2.","The governor, upon granting a pardon, orders the records of a state conviction sealed; thereafter, the records of the conviction may not be accessed by the public, and existence may be denied. Mass. Gen. Laws ch. 127, § 152 (2011).May be used as predicate.","Rare:Pardons infrequent since early 1990s, only four since 2002 (by Governor Patrick at the end of his term).","Sealing available for felonies after 5 years, misdemeanors after 10. Mass. Gen. Laws ch. 276, § 100A."
MI,"Governor decides, parole board must be consulted but advice not binding.Mich. Const. Art. 5, § 14; Mich. Comp. Laws §§ 791.243, 791.244. Mustinform the legislature annually of pardons and reasons. Const. Art. 5, § 14.","All applications referred to the board; if board decides to hold hearing, relevant officials must be notified. Recommendation of the board is a matter of public record. Mich. Comp. Laws § 791.244.",No eligibility criteria,"Pardon ""releases the punishment and blots out of existence the guilt, so that in the eye of the law the offender is as innocent as if he had never committed the offense."" People v. Van Heck, 651 N.W.2d 174, 179 (Mich. App. 2002).","Infrequent/uneven: Pardons rare prior to 2006 (only 34 pardons between 1969 and 2006). Gov. Granholm granted 20 pardons, 100 commutations; Rick Snyder granted no pardons during first term, 11 at start of second.",First offender set-aside; probation before judgment for drug offenders. Mich. Comp. Laws § 780.621l; § 333.7411.
MN,"Governor and high officials (attorney general, chief justice) act as board exercising power. Minn. Const. art. V, § 7. Board required to report to legislature by February 15 each year. Minn. Stat. § 638.075.","Commissioner of corrections screens applications, decides which cases should be heard by board. Minn. Stat. § 638.07. Public hearing, notice to officials and victim, decision announced at conclusion of hearing.","For ""pardon extraordinary,"" 5 crime-free years from final discharge for nonviolent crimes, or 10 crime-free years from final discharge for ""violent"" offenses (which includes drug felonies). Minn. Stat. §638.02.","A ""pardon extraordinary"" restores all rights, including firearms rights, and has ""the effect of setting aside and nullifying the conviction,"" so that it need not be disclosed. Minn. Stat. § 638.02. Does not seal or expunge the record, may be used as predicate.","Regular but sparing; 10-20 pardons each year, about one third of those whose cases are heard. Only those deemed eligible are permitted to file an application, and waivers of the eligibility waiting period are rarely granted.",Common law and (narrow) statutory expungement. Minn. Stat. § 609A.
MS,"Governor decides, parole board may be consulted. Miss. Const. art. 5, § 124. Miss. Code Ann. § 47-7-5(3).","Applicants publish notice 30 days before applying, stating reasons. Miss. Const. art. 5, § 124. Facially meritorious cases sent to the parole board, which investigates and holds hearing. Board reports to Governor and legislature annually. Miss. Code Ann. § 47-7-15.",Seven years since completion of sentence by governor's office policy.,"Pardon restores civil rights and removes employment disabilities, gun restrictions, obligation to register. No expungement.",Infrequent/uneven. No regular process. Almost 200 post-sentence pardons at end of Barbour's term considered irregular and unusual.,First misdemeanor and a few minor felony convictions may be expunged. Miss. Code Ann. § 99-19-71.
